"Site"	"Transcription-Units"	"Synonyms"
PM8J2-415	"yqhA"	
PM8J2-416	"yqgZ"	
PM8J2-417		
PM8J2-418	"yoxCB-yoaA"	
PM8J2-419	"yoxA-dacC"	
PM8J2-42	"ythPQ"	
PM8J2-420	"yotK"	
PM8J2-421	"yocK"	
PM8J2-422	"ohrB"	
PM8J2-423	"ykgAB"	
PM8J2-424	"yjgB"	
PM8J2-426	"nhaX"	
PM8J2-427	"yhdNO"	
PM8J2-428	"yhdF"	
PM8J2-429	"yflA"	
PM8J2-43	"ysdB"	
PM8J2-430	"yfkJIH"	
PM8J2-431	"yfhKLM"	
PM8J2-432	"ydhK"	
PM8J2-433	"ydfO"	
PM8J2-434	"ydbP"	
PM8J2-435		
PM8J2-436	"ydaTS"	
PM8J2-437		
PM8J2-438	"ydaP"	
PM8J2-439		
PM8J2-44	"yrhH"	
PM8J2-440	"ydaDEFG"	
PM8J2-441		
PM8J2-442	"yacLMN"	
PM8J2-443	"trxA"	
PM8J2-444		
PM8J2-445	"relA-yrvI"	
PM8J2-448	"nadE"	
PM8J2-449	"katX"	
PM8J2-45	"yqjL"	
PM8J2-452	"gtaB"	
PM8J2-453	"gspA"	
PM8J2-454	"gsiB"	
PM8J2-457	"ctsR-mcsAB-clpC-radA-yacK"	
PM8J2-458		
PM8J2-459	"csbX-bofC"	
PM8J2-46	"yqeZ-yqfA-yqfB"	
PM8J2-460		
PM8J2-461	"csbC"	
PM8J2-462	"csbB"	
PM8J2-465	"cdd-era"	
PM8J2-466	"bmrU-bmr-bmrR"	
PM8J2-467	"aldY"	
PM8J2-468	"mhqNOP"	
PM8J2-469	"mhqA"	
PM8J2-47	"yozO"	
PM8J2-470	"mhqED"	
PM8J2-471	"yvaB"	
PM8J2-478	"cymR-yrvO-trmU"	
PM8J2-479	"ssuBACD-ygaN"	
PM8J2-48	"yobJ"	
PM8J2-480	"yhcL"	
PM8J2-481	"yrrT-mtn-yrhABC"	
PM8J2-482	"yxeKLMNOPQ"	
PM8J2-487	"pyrG"	
PM8J2-488	"ywjF-acdA-rpoE"	
PM8J2-489	"ywfK"	
PM8J2-49	"yoaG"	
PM8J2-490	"ywcJ"	
PM8J2-491	"ywbI-thiME"	
PM8J2-492	"yvgRQ"	
PM8J2-495		
PM8J2-497	"ytkD"	
PM8J2-498		
PM8J2-50	"yoaF"	
PM8J2-502		
PM8J2-503	"yocH"	
PM8J2-504		
PM8J2-505		
PM8J2-506	"nrdIEF-ymaB"	
PM8J2-507	"ylxM-ffh"	
PM8J2-508		
PM8J2-509	"ykvW"	
PM8J2-51	"yndN"	
PM8J2-511	"ykuFG"	
PM8J2-512		
PM8J2-513	"yklA"	
PM8J2-516	"yhfL"	
PM8J2-517	"yhaG"	
PM8J2-52	"yknWXYZ"	
PM8J2-520	"ydfK"	
PM8J2-521		
PM8J2-522		
PM8J2-524	"yceCDEFGH"	
PM8J2-526	"yccC"	
PM8J2-527	"skf"	
PM8J2-53	"yjoB"	
PM8J2-530	"xynPB"	
PM8J2-531	"xynA"	
PM8J2-532	"xylAB"	
PM8J2-533	"xsa"	
PM8J2-537	"valS-folC"	
PM8J2-539	"tyrS"	
PM8J2-540	"trxA"	
PM8J2-542		
PM8J2-543		
PM8J2-544	"trePAR"	
PM8J2-545	"thrZ-ywhA"	
PM8J2-546	"thrS"	
PM8J2-547	"tetLB"	
PM8J2-548	"tagDEF"	
PM8J2-549	"tagAB"	
PM8J2-550	"srfAA-srfAB-comS-srfAC-srfAD"	
PM8J2-551	"spoIIIE"	
PM8J2-552	"spoIIGA-sigE-sigG"	
PM8J2-553	"spoIIE"	
PM8J2-555	"spo0E"	
PM8J2-556	"spo0B-obg"	
PM8J2-557	"spo0A"	
PM8J2-558		
PM8J2-559		
PM8J2-56		
PM8J2-563	"sigX-rsiX"	
PM8J2-565	"sigH"	
PM8J2-566		
PM8J2-567	"secA-prfB"	
PM8J2-568	"sdpRI"	
PM8J2-57	"yeaA-ydjP-ydjO"	
PM8J2-570	"yaaJ-scr"	
PM8J2-572		
PM8J2-574	"sacXY"	
PM8J2-575	"sacPA-ywdA"	
PM8J2-576	"sacB-yveBA"	
PM8J2-58	"ydbST"	
PM8J2-586	"rpsD"	
PM8J2-587		
PM8J2-588	"rpoB"	
PM8J2-589	"rocR"	
PM8J2-59	"yceCDEFGH"	
PM8J2-592		
PM8J2-593	"resABCDE"	
PM8J2-594	"recA"	
PM8J2-595	"rbsRKDACB"	
PM8J2-597	"rapG-phrG"	
PM8J2-598	"rapD"	
PM8J2-599	"rapC-phrC"	
PM8J2-6	"speE-speB"	
PM8J2-60	"ybfO"	
PM8J2-600	"rapB"	
PM8J2-601	"rapA-phrA"	
PM8J2-602	"qcrABC"	
PM8J2-604	"purT"	
PM8J2-605	"purEKBCSQLFMNHD"	
PM8J2-606	"purA"	
PM8J2-607		
PM8J2-608	"ywoE"	
PM8J2-609	"pucH"	
PM8J2-61	"xpaC-yaaN"	
PM8J2-611	"pucABCDE"	
PM8J2-612		
PM8J2-614	"pta"	
PM8J2-615	"pst"	
PM8J2-618	"ppiB"	
PM8J2-619		
PM8J2-62	"sppA-yteJ"	
PM8J2-627	"phoA"	
PM8J2-628	"pheST"	
PM8J2-629		
PM8J2-63	"sigW-ybbM"	
PM8J2-630	"perR"	
PM8J2-631		
PM8J2-632	"pdhABCD"	
PM8J2-633	"pbpF"	
PM8J2-634	"pbpD-yuxK"	
PM8J2-635	"pckA"	
PM8J2-636	"pabBAC-sul-folBK-yazB-yacF-lysS"	
PM8J2-64	"pspA-ydjGHI"	
PM8J2-641		
PM8J2-642	"odhAB"	
PM8J2-643		
PM8J2-644	"nrgAB"	
PM8J2-645	"nifS-yrxA"	
PM8J2-646	"nfrA-ywcH"	
PM8J2-648	"nasA"	
PM8J2-649	"narGHJI"	
PM8J2-65	"pbpX"	
PM8J2-650	"nadE"	
PM8J2-651	"nadBCA"	
PM8J2-652	"mtrAB"	
PM8J2-653	"mta"	
PM8J2-654	"mrgA"	
PM8J2-655	"mmsA-iolBCDEF-idh-iolHI-fbaB"	
PM8J2-656	"menBEC"	
PM8J2-657		
PM8J2-658		
PM8J2-66	"pbpE-racX"	
PM8J2-661	"mecA"	
PM8J2-662	"malA-yfiA-malP"	
PM8J2-663	"maeN"	
PM8J2-666	"lysC"	
PM8J2-67		
PM8J2-671	"licR"	
PM8J2-672	"licBCAH"	
PM8J2-673	"lepA-hemN-hrcA-grpE-dnaKJ-yqeTUV"	
PM8J2-674	"ldh-lctP"	
PM8J2-675	"kinC"	
PM8J2-676	"kinB-kapB"	
PM8J2-677	"kdgRKAT"	
PM8J2-678	"ydjK"	
PM8J2-679		
PM8J2-68	"abh"	
PM8J2-680	"iolRS"	
PM8J2-682	"ilvBHC-leuABCD"	
PM8J2-683		
PM8J2-684	"hut"	
PM8J2-685	"htrA"	
PM8J2-686	"htpG"	
PM8J2-688	"hemZ"	
PM8J2-689	"hemAXCDBL"	
PM8J2-693	"gutBP"	
PM8J2-694	"gudB"	
PM8J2-695	"guaD"	
PM8J2-696	"guaA"	
PM8J2-697	"gtaB"	
PM8J2-698	"groESL"	
PM8J2-7	"ytlI"	
PM8J2-70	"ykzB-ykoL"	
PM8J2-701	"glyA"	
PM8J2-702	"gltX-cysES-yazC-yacOP"	
PM8J2-703	"gltC"	
PM8J2-704	"gltR"	
PM8J2-705	"gltAB"	
PM8J2-706	"ybgJ-ybgH"	
PM8J2-707	"glpTQ"	
PM8J2-708		
PM8J2-709	"glpFK"	
PM8J2-710	"glpD"	
PM8J2-711	"glnRA"	
PM8J2-713	"gcaD-prs-ctc"	
PM8J2-715	"gabTD"	
PM8J2-716	"gabR"	
PM8J2-719	"gapB-speD"	
PM8J2-720	"fur"	
PM8J2-721	"ftsH"	
PM8J2-724	"fla-che"	
PM8J2-726	"feuABC-ybbA"	
PM8J2-727	"fbp"	
PM8J2-728	"fapR-plsX-fabDG"	
PM8J2-73		
PM8J2-731	"fabHAF"	
PM8J2-734		
PM8J2-735	"dppABCDE"	
PM8J2-738		
PM8J2-74	"spoIIIJ-jag"	
PM8J2-740	"des"	
PM8J2-742	"degQ"	
PM8J2-745		
PM8J2-746	"cysK"	
PM8J2-747	"cysHP-sat-cysC-ylnDEF"	
PM8J2-749	"ctsR-mcsAB-clpC-radA-yacK"	
PM8J2-750	"ctaA"	
PM8J2-753	"cspB"	
PM8J2-755	"comQX"	
PM8J2-756	"comK"	
PM8J2-757	"comGABCDEFG-yqzE"	
PM8J2-759	"comEABC"	
PM8J2-760	"comC"	
PM8J2-761	"comA-yuxO"	
PM8J2-762	"codV-clpQY-codY"	
PM8J2-763	"clpX"	
PM8J2-767	"citZ-icd-mdh"	
PM8J2-768	"citR"	
PM8J2-769	"citM-yflN"	
PM8J2-772	"citB"	
PM8J2-773	"citA"	
PM8J2-774	"cggR-gapA-pgk-tpiA-pgm-eno"	
PM8J2-775	"cdd-era"	
PM8J2-777	"ccdA-yneIJ"	
PM8J2-779		
PM8J2-780	"blt-bltD"	
PM8J2-781		
PM8J2-782	"bglPH-yxiE"	
PM8J2-783		
PM8J2-784		
PM8J2-785	"arsR-yqcK-arsBC"	
PM8J2-786	"argCJBD-carAB-argF"	
PM8J2-787	"arfM"	
PM8J2-788	"araR"	
PM8J2-789	"araE"	
PM8J2-79	"phoD"	
PM8J2-790	"araABDLMNPQ-abfA"	
PM8J2-791	"aprX"	
PM8J2-792	"aprE"	
PM8J2-794	"ansAB"	
PM8J2-795	"amyE"	
PM8J2-796	"amhX"	
PM8J2-797	"alsSD"	
PM8J2-798	"alkA"	
PM8J2-8	"ytlI"	
PM8J2-80		
PM8J2-800	"ahpCF"	
PM8J2-801	"addBA"	
PM8J2-802	"adaAB"	
PM8J2-803	"acuABC"	
PM8J2-804	"acsA"	
PM8J2-805	"ackA"	
PM8J2-808	"abnA"	
PM8J2-81	"narK-fnr"	
PM8J2-83	"hmp"	
PM8J2-85		
PM8J2-87		
PM8J2-88	"yraA"	
PM8J2-89	"radC"	
PM8J2-9	"ytmIJKLMNO-ytnIJ-ribR-ytnLM"	
PM8J2-90		
PM8J2-92	"ywoA"	
PM8J2-93		
PM8J2-95	"rocG"	
PM8J2-96	"rocDEF"	
PM8J2-97	"rocABC"	
PM8J2-98	"ptb-bcd-buk-lpdV-bkdAABB"	
PM8J2-99	"levDEFG-sacC"	
"proBp"	"proBA"	
"proHp"	"proHJ"	
"proIp"	"proI"	
"pssA-P1"		
"pssA-P2"	"pssA-ybfM-psd"	
"pssA-P3"	"pssA-ybfM-psd"	
"ptsGp"	"ptsGHI"	
"pucFp"	"pucFG"	"yurHG"
"putBp"	"putBCP"	
"putRp"	"putR"	
"PX"	"lytR"	
"pyrRp"	"pyrRPBCAAABKDFE"	
"P_D-2"	"motAB"	
"P_D-6"	"hag"	
"P_D-8"	"yvyC-fliDST"	
"qdoIp"	"qdoI-yxaH"	"yxaGH"
"qdoRp"	"qdoR"	"yxaF"
"rapHp"	"rapH-phrH"	
