M8J2-6	sigW	BSU01730
M8J2-62		
M8J2-62	pheS	BSU28640
M8J2-62	phoA	BSU09410
M8J2-6	sppA	BSU29530
M8J2-61		
M8J2-61	ppiB	BSU23360
M8J2-61	pstS	BSU24990
M8J2-61	pta	BSU37660
M8J2-61		
M8J2-61	pucA	BSU32510
M8J2-6	xpaC	BSU00250
M8J2-60	pucH	BSU32410
M8J2-60	pucI	BSU36470
M8J2-60		
M8J2-60	purA	BSU40420
M8J2-60	purE	BSU06420
M8J2-60	purT	BSU02230
M8J2-60	qcrA	BSU22560
M8J2-60	rapA	BSU12430
M8J2-60	rapB	BSU36690
M8J2-6	ybfO	BSU02310
M8J2-	speE	BSU37500
M8J2-59	rapC	BSU03770
M8J2-59	rapD	BSU36380
M8J2-59	rapG	BSU40300
M8J2-59	rbsR	BSU35910
M8J2-59	recA	BSU16940
M8J2-59	resA	BSU23150
M8J2-59		
M8J2-5	yceC	BSU02890
M8J2-58	rocR	BSU40350
M8J2-58	rpoB	BSU01070
M8J2-58		
M8J2-58	rpsD	BSU29660
M8J2-5	ydbS	BSU04590
M8J2-57	sacB	BSU34450
M8J2-57	sacP	BSU38050
M8J2-57	sacX	BSU38410
M8J2-57		
M8J2-57	tadA	BSU00180
M8J2-5	yeaA	BSU06290
M8J2-56	sdpR	BSU33790
M8J2-56	secA	BSU35300
M8J2-56		
M8J2-56	sigH	BSU00980
M8J2-56	sigX	BSU23100
M8J2-5		
M8J2-55		
M8J2-55		
M8J2-55	spo0A	BSU24220
M8J2-55	spo0B	BSU27930
M8J2-55	spo0E	BSU13640
M8J2-55	spoIIE	BSU00640
M8J2-55	spoIIGA	BSU15310
M8J2-55	spoIIIE	BSU16800
M8J2-55	srfAA	BSU03480
M8J2-54	tagA	BSU35750
M8J2-54	tagD	BSU35740
M8J2-54	tetL	BSU40780
M8J2-54	thrS	BSU28950
M8J2-54	thrZ	BSU37560
M8J2-54	treP	BSU07800
M8J2-54		
M8J2-54		
M8J2-54	trxA	BSU28500
M8J2-53	tyrS	BSU29670
M8J2-53	valS	BSU28090
M8J2-53	xsa	BSU28510
M8J2-53	xylA	BSU17600
M8J2-53	xynA	BSU18840
M8J2-53	xynP	BSU17570
M8J2-5	yjoB	BSU12420
M8J2-52	skfA	BSU01910
M8J2-52	ansZ	BSU02690
M8J2-52	yceC	BSU02890
M8J2-52		
M8J2-52		
M8J2-52	ydfK	BSU05450
M8J2-5	yknW	BSU14340
M8J2-51	trpP	BSU10010
M8J2-51	lcfB	BSU10270
M8J2-51	ohrA	BSU13140
M8J2-51		
M8J2-51	fadH	BSU14060
M8J2-5	fosB	BSU17840
M8J2-50	pfeT	BSU13850
M8J2-50		
M8J2-50	ylxM	BSU15970
M8J2-50	nrdI	BSU17370
M8J2-50		
M8J2-50		
M8J2-50	yocH	BSU19210
M8J2-50		
M8J2-5	yoaF	BSU18580
M8J2-49		
M8J2-49	rppH	BSU30630
M8J2-49		
M8J2-49	cysJ	BSU33440
M8J2-49	ywbI	BSU38310
M8J2-49	ywcJ	BSU38060
M8J2-4	yoaG	BSU18590
M8J2-48	cysL	BSU37650
M8J2-48	fadF	BSU37180
M8J2-48	pyrG	BSU37150
M8J2-48	yxeK	BSU39520
M8J2-48	yrrT	BSU27280
M8J2-48	tcyP	BSU09130
M8J2-4	yobJ	BSU18980
M8J2-47	ssuB	BSU08830
M8J2-47	cymR	BSU27520
M8J2-47	azoR2	BSU33540
M8J2-47	yodE	BSU19570
